movieId,title,genres,year,language,industry,avg_rating,rating_count,tags
1,Uri: The Surgical Strike,Action|War|Patriotic,2019,Hindi,Bollywood,4.8,4500,army surgical strike patriotic war india pakistan
2,Dhurandhar,Action|Thriller|Patriotic,2024,Hindi,Bollywood,4.5,3200,action thriller patriotic mission spy
3,War,Action|Thriller|Spy,2019,Hindi,Bollywood,4.3,4200,action spy thriller mission hrithik
4,Pathaan,Action|Spy|Thriller,2023,Hindi,Bollywood,4.2,4800,spy action thriller shahrukh mission india
5,Tiger Zinda Hai,Action|Spy|Patriotic,2017,Hindi,Bollywood,4.1,4000,spy action patriotic salman mission
6,Tiger 3,Action|Spy|Thriller,2023,Hindi,Bollywood,3.9,3500,spy action thriller salman mission
7,Raazi,Spy|Drama|Patriotic,2018,Hindi,Bollywood,4.6,3800,spy drama patriotic alia pakistan undercover
8,Kesari,Action|War|Historical,2019,Hindi,Bollywood,4.4,3600,war historical action sikh akshay battle
9,Shershah,War|Drama|Patriotic|Romance,2021,Hindi,Bollywood,4.7,4100,war army kargil patriotic romance sidharth
10,Bard of Blood,Spy|Action|Thriller,2019,Hindi,Bollywood,4.0,2800,spy action thriller raw agent mission
11,Baby,Action|Spy|Thriller,2015,Hindi,Bollywood,4.2,3400,spy action thriller akshay counter terrorism
12,Holiday: A Soldier Is Never Off Duty,Action|Spy|Thriller,2014,Hindi,Bollywood,4.0,2900,action spy thriller soldier akshay mission
13,Dangal,Drama|Sports|Biography,2016,Hindi,Bollywood,4.9,5000,wrestling sports biography aamir daughters inspiration
14,3 Idiots,Comedy|Drama|Education,2009,Hindi,Bollywood,4.9,5500,comedy drama education college friends aamir
15,Taare Zameen Par,Drama|Family|Education,2007,Hindi,Bollywood,4.8,4800,drama child education dyslexia family aamir
16,PK,Comedy|Drama|SocialCommentary,2014,Hindi,Bollywood,4.7,4700,comedy drama religion social aamir alien
17,Dil Dhadakne Do,Drama|Family|Comedy,2015,Hindi,Bollywood,4.2,3200,family drama comedy travel rich
18,Kapoor and Sons,Drama|Family|Romance,2016,Hindi,Bollywood,4.3,3100,family drama romance emotional
19,Andhadhun,Thriller|Mystery|Crime,2018,Hindi,Bollywood,4.8,4400,thriller mystery crime blind pianist
20,Drishyam 2,Thriller|Mystery|Drama,2022,Hindi,Bollywood,4.6,4200,thriller mystery drama family crime ajay
21,Article 15,Drama|Crime|SocialCommentary,2019,Hindi,Bollywood,4.5,3300,social drama crime caste discrimination ayushmann
22,Swades,Drama|Patriotic|SocialCommentary,2004,Hindi,Bollywood,4.7,3800,patriotic drama social village development shahrukh
23,Dilwale Dulhania Le Jayenge,Romance|Drama|Family,1995,Hindi,Bollywood,4.8,5200,romance love classic shahrukh kajol europe
24,Kabhi Khushi Kabhie Gham,Drama|Family|Romance,2001,Hindi,Bollywood,4.5,4500,family drama romance rich poor srk hrithik
25,Bajrangi Bhaijaan,Drama|Family|Comedy|Patriotic,2015,Hindi,Bollywood,4.7,4600,family drama comedy pakistan child salman
26,Jab We Met,Romance|Comedy|Drama,2007,Hindi,Bollywood,4.6,4300,romance comedy drama travel kareena shahid
27,Queen,Drama|Comedy|Romance,2014,Hindi,Bollywood,4.6,3900,drama comedy solo travel woman empowerment kangana
28,Piku,Drama|Comedy|Family,2015,Hindi,Bollywood,4.4,3500,family comedy drama road trip deepika amitabh
29,Golmaal Returns,Comedy|Action|Family,2008,Hindi,Bollywood,4.0,3200,comedy action family ajay rohit shetty
30,Hera Pheri,Comedy|Crime|Drama,2000,Hindi,Bollywood,4.8,5000,comedy crime classic akshay suniel paresh
31,Andaz Apna Apna,Comedy|Romance|Family,1994,Hindi,Bollywood,4.7,4400,comedy romance classic aamir salman
32,Chup Chup Ke,Comedy|Drama|Romance,2006,Hindi,Bollywood,4.1,2900,comedy drama romance
33,RRR,Action|Adventure|Historical,2022,Telugu,South,4.9,5500,action adventure historical freedom fighters rajamouli
